s	U	lambda	mu0	mu1	mu2	mu3	theta0	theta1	theta2	theta3	transverse_min_eig
6.658569341812854425e-01	3.522249934911614311e-02	-1.205827114190965166e-01	3.463204146875475398e-01	3.644365990380298848e-01	3.553626193291327673e-01	2.537724290606496735e-01	1.225694593038448410e+00	1.289849235627930080e+00	1.256089290502321099e+00	8.970027217987408541e-01	4.298272177434689922e+00
6.718020853793326141e-01	3.449648666633886585e-02	-1.236370825082438452e-01	3.493778123389915669e-01	3.675879450842602369e-01	3.586235736706469002e-01	2.561047404268345651e-01	1.235491467911165708e+00	1.299914194764564046e+00	1.266561310588017131e+00	9.044944067061413406e-01	4.381140447351059564e+00
6.777472365773797858e-01	3.375262536051704121e-02	-1.265863328750682359e-01	3.524320948359668249e-01	3.707384162106218684e-01	3.618871557862541333e-01	2.584387434310747023e-01	1.245330847968135757e+00	1.310032785330378147e+00	1.277100003552446683e+00	9.120330156412552736e-01	4.466286341912181435e+00
6.836923877754270684e-01	3.299155496535188803e-02	-1.294255340053635517e-01	3.554832648944395435e-01	3.738880232353326560e-01	3.651533569292807480e-01	2.607744315617995245e-01	1.255215279206572498e+00	1.320207714551255851e+00	1.287708004680076401e+00	9.196204294864209761e-01	4.553796273489419733e+00
6.896375389734742400e-01	3.221394477615024954e-02	-1.321496007802439587e-01	3.585313247962609862e-01	3.770367761587683497e-01	3.684221690319710585e-01	2.631117990794898942e-01	1.265147386588254763e+00	1.330441771356603908e+00	1.298388036550029101e+00	9.272585925295530052e-01	4.643761325593318112e+00
6.955826901715214117e-01	3.142049480952990859e-02	-1.347532817280782114e-01	3.615762763490640852e-01	3.801846841747585914e-01	3.716935847318529884e-01	2.654508410173281319e-01	1.275129878906142045e+00	1.340737831696392934e+00	1.309142914410753367e+00	9.349495162346289634e-01	4.736277568165480290e+00
7.015278413695685833e-01	3.061193682296436958e-02	-1.372311486364607425e-01	3.646181208460191336e-01	3.833317556806870585e-01	3.749675973986358324e-01	2.677915531829617724e-01	1.285165553979746855e+00	1.351098864200053207e+00	1.319975551903083799e+00	9.426952832636912305e-01	4.831446399011174897e+00
7.074729925676157549e-01	2.978903539812072232e-02	-1.395775854687732187e-01	3.676568590253089797e-01	3.864779982863638108e-01	3.782442011617608846e-01	2.701339321614417144e-01	1.295257304207279025e+00	1.361527936207125533e+00	1.330888967162157099e+00	9.504980517720268418e-01	4.929374913935339109e+00
7.134181437656630376e-01	2.895258909230380429e-02	-1.417867765243646383e-01	3.706924910291802822e-01	3.896234188216381455e-01	3.815233909387302780e-01	2.724779753194034315e-01	1.305408122505399948e+00	1.372028220202530013e+00	1.341886289331652549e+00	9.583600600003421288e-01	5.030176308436649535e+00
7.193632949637102092e-01	2.810343166270889981e-02	-1.438526937752776791e-01	3.737250163624203370e-01	3.927680233427110479e-01	3.848051624643482604e-01	2.748236808105606888e-01	1.315621108670529615e+00	1.382603000692590678e+00	1.352970765527148123e+00	9.662836311901167319e-01	5.133970314143891045e+00
7.253084461617573808e-01	2.724243336858489517e-02	-1.457690833056097535e-01	3.767544338500983803e-01	3.959118171371044381e-01	3.880895123210045816e-01	2.771710475825795439e-01	1.325899476199161153e+00	1.393255681561686554e+00	1.364145768289120930e+00	9.742711788509752502e-01	5.240883673552608535e+00
7.312535973598045524e-01	2.637050235688698230e-02	-1.475294507718829251e-01	3.797807415944136622e-01	3.990548047272495236e-01	3.913764379701571983e-01	2.795200753854201192e-01	1.336246559608564421e+00	1.403989793953511978e+00	1.375414803570310429e+00	9.823252124119226103e-01	5.351050657043112224e+00
