trial,q_minus,flip_probability,input_sign_bias,output_sign_bias,contraction_factor,l1_coherence,measurement_bias,aligned_reference_bias
145,0.016282228570893002,0.44143199912523723,0.967435542858214,0.11332153144079295,0.11713600174952554,0.2980575934513966,0.20960603817853982,0.2980575934513966
146,0.41354078042863146,0.34855115419157684,0.17291843914273708,0.05237659605432318,0.3028976916168463,0.31354885700982216,0.2824762419471404,0.31354885700982216
147,0.2486171091815449,0.3689054801236482,0.5027657816369102,0.13181967750789894,0.2621890397527036,0.045062685878773046,0.002799299232099052,0.045062685878773046
148,0.3289985520583151,0.34710164221833484,0.34200289588336985,0.10458336227428212,0.3057967155633303,0.45282398072303987,0.12303509561157185,0.45282398072303987
149,0.23105187774169458,0.1850720961935695,0.5378962445166109,0.3387970735019349,0.629855807612861,0.4756900036546202,0.42830134944522136,0.4756900036546202
150,0.14363480489555364,0.4887310994981934,0.7127303902088927,0.016063375703755642,0.022537801003613245,0.3822625749018056,0.3452263872822596,0.38226257490180554
151,0.3316671988709681,0.07262771560748948,0.33666560225806375,0.28776309502681807,0.854744568785021,0.49576808385570087,0.4344579508378566,0.49576808385570087
152,0.241108359692019,0.47794709828834564,0.517783280615962,0.022837247590723517,0.04410580342330872,0.5804321744905274,0.5683957130301752,0.5804321744905275
153,0.20401805675864107,0.305140916997367,0.5919638864827179,0.2306990801813943,0.389718166005266,0.9333543444497677,0.9332419627712236,0.9333543444497678
154,0.017642738756603916,0.2766997853498791,0.9647145224867921,0.43084191989477916,0.4466004293002418,0.06389766593646629,0.005671157026247294,0.06389766593646629
155,0.2589053256511374,0.05762877761527718,0.48218934869772523,0.42661338320861214,0.8847424447694456,0.40653668308762403,0.3849010203074768,0.40653668308762403
156,0.28159540828364676,0.32674407748513284,0.43680918343270647,0.15135955607719878,0.3465118450297343,0.1811279731067631,0.07713322027016088,0.18112797310676307
157,0.28214819856615925,0.4105200099011505,0.4357036028676815,0.07797350814126638,0.178959980197699,0.64296788789035,0.05433876827797693,0.64296788789035
158,0.07639589452967431,0.24723523730262964,0.8472082109406514,0.42828876478735484,0.5055295253947407,0.39556941926009903,0.3610441439538377,0.395569419260099
159,0.4098625981402982,0.21539130684519087,0.18027480371940363,0.10261555259063838,0.5692173863096183,0.32848221249426146,0.3244045703007602,0.3284822124942615
160,0.4353813713788967,0.32459762590936564,0.12923725724220658,0.045337043482490125,0.3508047481812687,0.7693536185134043,0.738051092379246,0.7693536185134042
161,0.28274930088906647,0.13624402357088072,0.43450139822186706,0.3161049607400257,0.7275119528582386,0.20539331174043285,0.1046677113051645,0.20539331174043288
162,0.20599222155139824,0.422892103166647,0.5880155568972035,0.09068128579527238,0.154215793666706,0.9164010499303016,0.7204298466082568,0.9164010499303015
163,0.4236561255371492,0.49492749478806936,0.15268774892570158,0.0015490188044471579,0.01014501042386129,0.014998831583111105,0.005693289714446298,0.014998831583111105
164,0.236962620196402,0.04913986031388262,0.526074759607196,0.47437227920368197,0.9017202793722348,0.07703391226762457,0.028877103140133434,0.07703391226762456
165,0.3035852971405262,0.11150741244011458,0.39282940571894764,0.30522262459473204,0.7769851751197708,0.119836542305782,0.003339536298231985,0.119836542305782
166,0.42308681943090937,0.039307814020481946,0.15382636113818127,0.14173320514804702,0.9213843719590361,0.34602490645893036,0.20471624098069427,0.3460249064589303
167,0.38487458294483856,0.21300196287934703,0.23025083411032288,0.1321630748701115,0.5739960742413059,0.08407355658804894,0.047485682968666,0.08407355658804894
168,0.15827947454666383,0.28191723346879877,0.6834410509066724,0.29809343028543733,0.43616553306240247,0.8177290491381709,0.11100570567474585,0.8177290491381709
169,0.4248518022828867,0.28051184001477375,0.15029639543422657,0.0659765585725407,0.4389763199704525,0.6762344331011211,0.12940532728222473,0.6762344331011211
170,0.4231651781616874,0.03890906780239717,0.15366964367662517,0.14171135850665711,0.9221818643952057,0.2866757111569247,0.236430115495599,0.2866757111569247
171,0.14369996066750915,0.28291864361217195,0.7126000786649818,0.3093843832773344,0.4341627127756561,0.4558279391435993,0.33079552818524416,0.45582793914359937
172,0.44857743448293674,0.42272222977908347,0.10284513103412651,0.01589528480879056,0.15455554044183306,0.5814249697678449,0.3210911249196001,0.5814249697678449
173,0.31570010825817335,0.3305428549526216,0.3685997834836533,0.12492373394844343,0.3389142900947568,0.5884501669759101,0.5301016942896564,0.5884501669759101
174,0.2513395511892245,0.3023429003327954,0.49732089762155096,0.19659801245553313,0.39531419933440926,0.3320450733066441,0.23361530519598148,0.3320450733066442
