uses,survival_probability,coherence_factor,fraction_of_ideal_threshold,time_per_use,product_erasure_lower,ghz_lower,best_feasible_lower,adaptive_hybrid_upper,certificate_gap
2,0.85,1.0,1.0,0.35981850700269463,0.8060155834368266,0.7224999999999999,0.8060155834368266,1.0,0.19398441656317345
2,0.95,0.7,0.25,0.08995462675067366,0.16247276697799257,0.1692321808776518,0.1692321808776518,0.25947012828145055,0.09023794740379876
2,0.95,0.7,0.5,0.17990925350134732,0.3133605726377197,0.3127002963102209,0.3133605726377197,0.5089689650455693,0.1956083924078496
2,0.95,0.7,0.75,0.26986388025202096,0.4430474575801527,0.4085626262648037,0.4430474575801527,0.7389084099160708,0.2958609523359181
2,0.95,0.7,1.0,0.35981850700269463,0.54546494355861,0.4422249999999999,0.54546494355861,0.940452018978108,0.39498707541949807
2,0.95,0.9,0.25,0.08995462675067366,0.2280458274274908,0.27975115614468976,0.27975115614468976,0.3336044506475793,0.05385329450288956
2,0.95,0.9,0.5,0.17990925350134732,0.4369691750096506,0.5169127347168959,0.5169127347168959,0.6543886693443035,0.1374759346274076
2,0.95,0.9,0.75,0.26986388025202096,0.6111248282013756,0.6753790352540634,0.6753790352540634,0.9500250984635197,0.2746460632094563
2,0.95,0.9,1.0,0.35981850700269463,0.7412471853122804,0.731025,0.7412471853122804,1.0,0.2587528146877196
2,0.95,1.0,0.25,0.08995462675067366,0.2651521482714845,0.3453717977094935,0.3453717977094935,0.3706716118306437,0.025299814121150177
2,0.95,1.0,0.5,0.17990925350134732,0.5065622844848718,0.6381638700208591,0.6381638700208591,0.7270985214936706,0.08893465147281154
2,0.95,1.0,0.75,0.26986388025202096,0.7048606425991959,0.8338012780914362,0.8338012780914362,1.0,0.16619872190856377
2,0.95,1.0,1.0,0.35981850700269463,0.848763071128178,0.9025,0.9025,1.0,0.09750000000000003
2,1.0,0.7,0.25,0.08995462675067366,0.16565015020932966,0.18751488185889398,0.18751488185889398,0.2731264508225795,0.08561156896368555
2,1.0,0.7,0.5,0.17990925350134732,0.31901620430519806,0.3464823227814082,0.3464823227814082,0.5357568053111257,0.18927448252971746
2,1.0,0.7,0.75,0.26986388025202096,0.44997455632614863,0.45270097093053047,0.45270097093053047,0.777798326227443,0.3250973552969126
